homologene_fam_id	species_1	species_2	entrez_1	symbol_1	protein_gi_1	protein_acc_1	entrez_2	symbol_2	protein_gi_2	protein_acc_2
3	9606	10090	34	ACADM	4557231	NP_000007.1	11364	Acadm	6680618	NP_031408.1
5	9606	10090	37	ACADVL	4557235	NP_000009.1	11370	Acadvl	23956084	NP_059062.1
6	9606	10090	38	ACAT1	4557237	NP_000010.1	110446	Acat1	21450129	NP_659033.1
7	9606	10090	90	ACVR1	4501895	NP_001096.1	11477	Acvr1	158937274	NP_001103674.1
9	9606	10090	6442	SGCA	4506911	NP_000014.1	20391	Sgca	6677923	NP_033187.1
12	9606	10090	158	ADSL	4557269	NP_000017.1	11564	Adsl	29788764	NP_033764.2
13	9606	10090	175	AGA	285002251	NP_000018.2	11593	Aga	54292135	NP_001005847.1
14	9606	10090	183	AGT	4557287	NP_000020.1	11606	Agt	113461998	NP_031454.3
16	9606	10090	210	ALAD	189083849	NP_000022.3	17025	Alad	34328485	NP_032551.3
17	9606	10090	212	ALAS2	83977442	NP_000023.2	11656	Alas2	33859502	NP_033783.1
20	9606	10090	270	AMPD1	289547500	NP_000027.2	229665	Ampd1	114431240	NP_001028475.2
26	9606	10090	350	APOH	153266841	NP_000033.2	11818	Apoh	160358825	NP_038503.4
27	9606	10090	355	FAS	4507583	NP_000034.1	14102	Fas	226443049	NP_032013.2
28	9606	10090	367	AR	21322252	NP_000035.2	11835	Ar	7304901	NP_038504.1
29	9606	10090	383	ARG1	346986435	NP_001231367.1	11846	Arg1	7106255	NP_031508.1
32	9606	10090	435	ASL	31541964	NP_000039.2	109900	Asl	19526986	NP_598529.1
33	9606	10090	443	ASPA	189339202	NP_001121557.1	11484	Aspa	31560279	NP_075602.2
35	9606	10090	538	ATP7A	532691750	NP_000043.4	11977	Atp7a	157951682	NP_001103227.1
39	9606	10090	594	BCKDHB	34101272	NP_898871.1	12040	Bckdhb	40353220	NP_954665.1
41	9606	10090	675	BRCA2	119395734	NP_000050.2	12190	Brca2	124487411	NP_033895.2
44	9606	10090	710	SERPING1	73858568	NP_000053.2	12258	Serping1	163914390	NP_033906.2
45	9606	10090	717	C2	14550407	NP_000054.2	12263	C2	157951694	NP_038512.2
47	9606	10090	729	C6	169636415	NP_000056.2	12274	C6	161086891	NP_057913.2
48	9606	10090	732	C8B	514239916	NP_000057.2	110382	C8b	33563297	NP_598643.1
52	9606	10090	825	CAPN3	4557405	NP_000061.1	12335	Capn3	157951713	NP_031627.2
55	9606	10090	917	CD3G	4557429	NP_000064.1	12502	Cd3g	6753350	NP_033980.1
56	9606	10090	959	CD40LG	4557433	NP_000065.1	21947	Cd40lg	15011846	NP_035746.2
59	9606	10090	1134	CHRNA1	87567783	NP_001034612.1	11435	Chrna1	31542391	NP_031415.2
60	9606	10090	1145	CHRNE	4557463	NP_000071.1	11448	Chrne	6752950	NP_033733.1
61	9606	10090	1130	LYST	54292123	NP_000072.2	17101	Lyst	111955376	NP_034878.2
62	9606	10090	1161	ERCC8	4557467	NP_000073.1	71991	Ercc8	110625789	NP_082318.2
63	9606	10090	1180	CLCN1	119433677	NP_000074.2	12723	Clcn1	29789048	NP_038519.1
65	9606	10090	1188	CLCNKB	155969705	NP_000076.2	12733	Clcnka	226423869	NP_001139779.1
69	9606	10090	1278	COL1A2	48762934	NP_000080.2	12843	Col1a2	111120329	NP_031769.2
73	9606	10090	1294	COL7A1	4502961	NP_000085.1	12836	Col7a1	115647999	NP_031764.2
74	9606	10090	1311	COMP	40217843	NP_000086.2	12845	Comp	162287140	NP_057894.2
75	9606	10090	1356	CP	4557485	NP_000087.1	12870	Cp	442745912	NP_001263177.1
76	9606	10090	1371	CPOX	41393599	NP_000088.3	12892	Cpox	161484660	NP_031783.2
77	9606	10090	1376	CPT2	4503023	NP_000089.1	12896	Cpt2	162138915	NP_034079.2
78	9606	10090	1471	CST3	4503107	NP_000090.1	13010	Cst3	31981822	NP_034106.2
79	9606	10090	1476	CSTB	4503117	NP_000091.1	13014	Cstb	6681071	NP_031819.1
80	9606	10090	1535	CYBA	68509914	NP_000092.2	13057	Cyba	160948588	NP_031832.2
83	9606	10090	1643	DDB2	4557515	NP_000098.1	107986	Ddb2	29150251	NP_082395.2
84	9606	10090	1738	DLD	91199540	NP_000099.2	13382	Dld	31982856	NP_031887.2
85	9606	10090	1806	DPYD	119943098	NP_000101.2	99586	Dpyd	25140985	NP_740748.1
88	9606	10090	1908	EDN3	46370060	NP_996915.1	13616	Edn3	6681267	NP_031929.1
89	9606	10090	1910	EDNRB	319655697	NP_001188326.1	13618	Ednrb	209862929	NP_001129533.1
91	9606	10090	2010	EMD	4557553	NP_000108.1	13726	Emd	6679641	NP_031953.1
92	9606	10090	2022	ENG	168693647	NP_001108225.1	13805	Eng	226437649	NP_001139820.1
93	9606	10090	2038	EPB42	166362735	NP_000110.2	13828	Epb4.2	7305035	NP_038541.1
94	9606	10090	2052	EPHX1	4503583	NP_000111.1	13849	Ephx1	6753762	NP_034275.1
95	9606	10090	2057	EPOR	4503591	NP_000112.1	13857	Epor	116292186	NP_034279.3
96	9606	10090	2071	ERCC3	4557563	NP_000113.1	13872	Ercc3	19526800	NP_598419.1
100	9606	10090	2108	ETFA	4503607	NP_000117.1	110842	Etfa	227500281	NP_663590.3
104	9606	10090	2153	F5	105990535	NP_000121.2	14067	F5	6679731	NP_032002.1
106	9606	10090	2158	F9	4503649	NP_000124.1	14071	F9	73661202	NP_032005.1
107	9606	10090	2169	FABP2	194097325	NP_000125.2	14079	Fabp2	6679737	NP_032006.1
108	9606	10090	2175	FANCA	66880553	NP_000126.2	14087	Fanca	242397507	NP_058621.2
109	9606	10090	2176	FANCC	344217746	NP_001230672.1	14088	Fancc	111185912	NP_001036138.1
110	9606	10090	2184	FAH	4557587	NP_000128.1	14085	Fah	240120112	NP_034306.2
112	9606	10090	2206	MS4A2	4503677	NP_000130.1	14126	Ms4a2	7305049	NP_038544.1
113	9606	10090	2235	FECH	60499021	NP_000131.2	14151	Fech	20452466	NP_032024.2
115	9606	10090	2271	FH	19743875	NP_000134.2	14194	Fh1	226823367	NP_034339.2
117	9606	10090	2492	FSHR	31657138	NP_000136.2	14309	Fshr	242397446	NP_038551.3
119	9606	10090	2519	FUCA2	40068512	NP_114409.2	66848	Fuca2	31541791	NP_080075.2
120	9606	10090	2523	FUT1	4503805	NP_000139.1	14343	Fut1	49355810	NP_032077.2
124	9606	10090	2581	GALC	83281450	NP_000144.2	14420	Galc	93102411	NP_032105.2
125	9606	10090	2584	GALK1	4503895	NP_000145.1	14635	Galk1	93102413	NP_058601.2
